transaction_id,amount,hour,merchant_risk_score,distance_from_home_km,txns_last_24h,is_foreign,account_age_days,label
TXN100000,13.47,9,0.02065744438807873,8.6457594116298,3,0,1384.208339570893,0
TXN100001,10.89,21,0.21574178897508772,11.440657319944343,2,0,1237.1637579952521,0
TXN100002,6.4,7,0.24954619931425157,10.49292396997361,4,0,2443.5149536957792,0
TXN100003,6.09,20,0.3457843822597503,3.0596452916670986,2,0,987.4654689636282,0
TXN100004,68.39,14,0.16192567878711112,2.746560599367847,6,0,1691.1429809039487,0
TXN100005,1.95,13,0.23241375588786886,6.190959663794848,8,0,322.57877316324385,0
TXN100006,4.16,21,0.06206894306689044,12.88091088001666,2,0,1607.5512302056486,0
TXN100007,20.58,11,0.24390559434968992,2.5330827248822163,1,0,1556.218277524809,0
TXN100008,4.4,14,0.20396971242676296,1.9661679351236314,5,0,1880.6297624601089,0
TXN100009,13.58,18,0.0764800941959009,3.030050970265142,2,0,1461.5583606303542,0
TXN100010,14.78,13,0.08196864432004797,2.580759941140696,3,0,2920.603897735794,0
TXN100011,33.82,15,0.11775025573270717,1.2196920933629056,3,0,1913.0229922614174,0
TXN100012,19.63,10,0.05832564850356126,7.343056907534082,4,0,1473.6572302684033,0
TXN100013,10.55,21,0.2323582742622307,0.25273698842011644,3,0,1041.174667828,0
TXN100014,7.62,14,0.15753378088097164,0.5682974292949989,2,0,525.3120149917041,0
TXN100015,111.88,11,0.3152118814572871,3.0581688967656726,0,0,3183.566309479788,0
TXN100016,33.34,14,0.19595189329533266,10.963483674442433,5,0,814.4741383366894,0
TXN100017,7.2,11,0.20808876324628173,8.046264855569774,1,0,2407.160888223335,0
TXN100018,27.39,7,0.1794297312970906,4.237489310995567,1,0,1512.1523655718684,0
TXN100019,14.12,7,0.054576801053286106,3.503164173850894,3,0,2033.1517551803577,0
TXN100020,8.39,14,0.152101894364457,1.0942774389690577,2,0,1184.1112674278756,0
TXN100021,65.86,14,0.18580604633890638,3.0710677759878684,4,0,1720.442420490355,0
TXN100022,82.22,12,0.4483823595286755,2.7016309388091733,4,0,916.4621045289913,0
TXN100023,10.4,12,0.4454541329120885,8.336833217808596,5,0,446.48108003367486,0
TXN100024,35.65,16,0.008804123277635207,2.626740965867617,4,0,416.11794546519934,0
TXN100025,9.29,20,0.21740832625754844,7.034529229418153,4,0,4012.459586460313,0
TXN100026,13.6,8,0.07800024936730343,11.564888132882036,4,0,2052.6418253388997,0
TXN100027,4.33,8,0.2663333173137984,3.5689668299551833,1,0,942.8663046494197,0
TXN100028,2.89,10,0.08476489445892404,4.480092982920447,6,0,856.2801964076568,0
TXN100029,11.93,21,0.35173984883701404,11.547120375734911,1,0,1222.8272128509304,0
TXN100030,39.96,7,0.3213212447848774,8.335783223736533,5,0,2545.549569569206,0
TXN100031,43.84,14,0.13306230149570297,2.3774240837481035,1,0,3022.097902835207,0
TXN100032,5.04,21,0.15841948532283268,1.157854264809656,2,0,1172.260692402423,0
TXN100033,51.91,15,0.10974215341519493,30.608770779664564,2,0,626.6908053030874,0
TXN100034,55.84,13,0.3610760017182581,26.145104907753097,4,0,1219.3936342717222,0
TXN100035,8.5,11,0.17662372749143432,3.0130971019018804,3,0,878.2060889966733,0
TXN100036,36.64,18,0.21459096928609855,4.285682474787682,3,0,1432.1983982687932,0
TXN100037,24.84,23,0.13568682425812514,17.295483868757703,5,0,805.806417588417,0
TXN100038,8.51,14,0.06801237121475129,0.2790684874305676,3,0,1165.4501934082691,0
